filepath,filename,class
data/processed/train/product_ear_pods_401_0.jpg,product_ear_pods_401_0.jpg,ear_pods
data/processed/train/product_headset_671_3.jpg,product_headset_671_3.jpg,headset
data/processed/train/product_ear_pods_406_1.jpg,product_ear_pods_406_1.jpg,ear_pods
data/processed/train/product_ear_pods_524_0.jpg,product_ear_pods_524_0.jpg,ear_pods
data/processed/train/product_headset_672_6.jpg,product_headset_672_6.jpg,headset
data/processed/train/product_backpack_824_6.jpg,product_backpack_824_6.jpg,backpack
data/processed/train/product_backpack_820_1.jpg,product_backpack_820_1.jpg,backpack
data/processed/train/product_backpack_803_2.jpg,product_backpack_803_2.jpg,backpack
data/processed/train/product_mouse_350_6.jpg,product_mouse_350_6.jpg,mouse
data/processed/train/product_ear_pods_565_5.jpg,product_ear_pods_565_5.jpg,ear_pods
data/processed/train/product_mouse_294_6.jpg,product_mouse_294_6.jpg,mouse
data/processed/train/product_mouse_235_2.jpg,product_mouse_235_2.jpg,mouse
data/processed/train/product_office_chairs_1249_0.jpg,product_office_chairs_1249_0.jpg,office_chairs
data/processed/train/product_wrist_watch_1182_0.jpg,product_wrist_watch_1182_0.jpg,wrist_watch
data/processed/train/product_mouse_216_4.jpg,product_mouse_216_4.jpg,mouse
data/processed/train/product_headset_608_3.jpg,product_headset_608_3.jpg,headset
data/processed/train/product_backpack_845_4.jpg,product_backpack_845_4.jpg,backpack
data/processed/train/product_mouse_235_6.jpg,product_mouse_235_6.jpg,mouse
data/processed/train/product_flash_drive_1410_5.jpg,product_flash_drive_1410_5.jpg,flash_drive
data/processed/train/product_flash_drive_1414_1.jpg,product_flash_drive_1414_1.jpg,flash_drive
data/processed/train/product_headset_608_4.jpg,product_headset_608_4.jpg,headset
data/processed/train/product_mouse_208_4.jpg,product_mouse_208_4.jpg,mouse
data/processed/train/product_flash_drive_1410_1.jpg,product_flash_drive_1410_1.jpg,flash_drive
data/processed/train/product_mouse_394_5.jpg,product_mouse_394_5.jpg,mouse
data/processed/train/product_office_chairs_1317_0.jpg,product_office_chairs_1317_0.jpg,office_chairs
data/processed/train/product_ear_pods_478_4.jpg,product_ear_pods_478_4.jpg,ear_pods
data/processed/train/product_mouse_296_4.jpg,product_mouse_296_4.jpg,mouse
data/processed/train/product_office_chairs_1273_1.jpg,product_office_chairs_1273_1.jpg,office_chairs
data/processed/train/product_flash_drive_1399_3.jpg,product_flash_drive_1399_3.jpg,flash_drive
data/processed/train/product_backpack_824_7.jpg,product_backpack_824_7.jpg,backpack
data/processed/train/product_backpack_867_7.jpg,product_backpack_867_7.jpg,backpack
data/processed/train/product_headset_656_6.jpg,product_headset_656_6.jpg,headset
data/processed/train/product_ear_pods_498_1.jpg,product_ear_pods_498_1.jpg,ear_pods
data/processed/train/product_backpack_867_0.jpg,product_backpack_867_0.jpg,backpack
data/processed/train/product_ear_pods_418_2.jpg,product_ear_pods_418_2.jpg,ear_pods
data/processed/train/product_backpack_822_1.jpg,product_backpack_822_1.jpg,backpack
data/processed/train/product_mouse_234_1.jpg,product_mouse_234_1.jpg,mouse
data/processed/train/product_backpack_827_3.jpg,product_backpack_827_3.jpg,backpack
